Cuisine,Respondent_Nationality,Unweighted_Base,Base,Like_a_lot_pc,Like_a_fair_amount_pc,Dont_like_very_much_pc,Dont_like_at_all_pc,Dont_know_pc,Never_tried_pc,Like_pc
Indonesia,Japan,1000,1000,3,13,7,2,25,50,32
Indonesia,Malaysia,1003,1003,22,52,12,3,4,7,80
Indonesia,Philippines,1019,1019,8,33,14,3,10,31,59
Indonesia,Taiwan,1036,1036,7,29,25,5,8,27,49
Indonesia,Thailand,1020,1020,2,14,19,11,14,39,26
Indonesia,Vietnam,1011,1011,8,19,21,6,14,31,39
Indonesia,India,1163,1163,9,21,13,5,14,40,48
Indonesia,Singapore,1010,1010,33,47,12,2,2,4,84
Indonesia,Italy,1002,1002,4,11,7,7,13,58,35
Indonesia,Spain,1001,1001,4,11,9,5,16,55,34
Indonesia,USA,1184,1177,7,11,5,4,20,53,39
Indonesia,UAE,1027,1027,10,24,15,9,14,27,47
Indonesia,Saudi Arabia,1009,1009,12,22,12,10,17,27,46
Indonesia,Great Britain,1762,1762,8,14,3,2,14,59,54
Indonesia,Germany,2040,2040,7,20,9,6,12,44,50
Indonesia,France,1011,1011,9,9,5,6,12,58,44
Indonesia,Denmark,1007,1007,9,19,5,3,27,37,44
Indonesia,Sweden,1006,1006,8,21,8,3,26,34,44
Indonesia,Finland,1005,1005,6,17,5,4,22,45,53
Indonesia,Norway,732,732,7,16,8,3,20,46,43
Taiwan,Australia,1020,1020,14,24,9,2,15,36,59
Taiwan,China,1014,1014,13,33,14,4,7,29,64
Taiwan,Hong Kong,1023,1023,32,54,9,1,2,2,88
Taiwan,Indonesia,1024,1024,10,20,14,5,25,25,40
Taiwan,Japan,1000,1000,14,35,8,2,15,26,66
Taiwan,Malaysia,1003,1003,14,21,15,6,17,28,49
Taiwan,Philippines,1019,1019,16,34,11,2,11,26,68
Taiwan,Taiwan,1036,1036,75,20,3,0,0,1,96
Taiwan,Thailand,1020,1020,10,29,17,5,11,29,54
Taiwan,Vietnam,1011,1011,18,31,16,4,10,21,62
Taiwan,India,1163,1163,8,16,12,6,15,43,42
Taiwan,Singapore,1010,1010,42,37,7,1,3,10,87
Taiwan,Italy,1002,1002,3,8,7,5,13,63,32
Taiwan,Spain,1001,1001,5,12,10,6,15,52,36
Taiwan,USA,1184,1177,8,15,5,3,18,50,48
Taiwan,UAE,1027,1027,11,19,15,10,16,29,42
Taiwan,Saudi Arabia,1009,1009,5,10,10,12,24,38,24
Taiwan,Great Britain,1762,1762,4,9,3,2,17,64,37
Taiwan,Germany,2040,2040,4,16,9,7,13,51,41
Taiwan,France,1011,1011,7,11,4,5,12,61,46
Taiwan,Denmark,1007,1007,6,9,5,3,31,46,28
Taiwan,Sweden,1006,1006,5,8,5,3,32,46,25
Taiwan,Finland,1005,1005,6,13,6,3,23,49,55
Taiwan,Norway,732,732,4,11,6,3,24,52,31
Australia,Australia,1020,1020,52,35,7,1,3,2,89
Australia,China,1014,1014,5,16,13,7,10,50,41
Australia,Hong Kong,1023,1023,8,37,20,3,9,24,58
Australia,Indonesia,1024,1024,9,20,13,4,26,27,41
Australia,Japan,1000,1000,2,11,6,1,26,54,28
Australia,Malaysia,1003,1003,9,29,12,3,17,30,54
Australia,Philippines,1019,1019,15,36,6,1,11,31,74
Australia,Taiwan,1036,1036,7,21,18,2,9,43,49
Australia,Thailand,1020,1020,6,25,14,5,14,36,48
Australia,Vietnam,1011,1011,13,26,12,3,14,31,57
Australia,India,1163,1163,13,25,10,4,13,36,59
Australia,Singapore,1010,1010,14,46,11,1,8,19,74
Australia,Italy,1002,1002,2,12,7,5,15,59,35
Australia,Spain,1001,1001,3,8,9,4,18,58,27
Australia,USA,1184,1177,7,13,3,3,21,53,43
Australia,UAE,1027,1027,12,24,12,7,16,29,52
Australia,Saudi Arabia,1009,1009,5,14,9,7,24,41,32
Australia,Great Britain,1762,1762,5,20,5,1,17,51,52
Australia,Germany,2040,2040,3,14,9,5,16,53,36
Australia,France,1011,1011,4,8,5,4,13,67,35
Australia,Denmark,1007,1007,7,20,6,2,29,37,42
Australia,Sweden,1006,1006,5,15,5,2,32,40,34
Australia,Finland,1005,1005,7,20,5,3,22,44,51
Australia,Norway,732,732,5,16,6,2,22,49,41
Japan,Australia,1020,1020,33,32,13,5,5,11,74
Japan,China,1014,1014,12,29,22,8,5,24,54
Japan,Hong Kong,1023,1023,57,35,5,1,1,1,93
Japan,Indonesia,1024,1024,31,34,14,3,8,10,72
Japan,Japan,1000,1000,67,24,2,0,3,3,94
Japan,Malaysia,1003,1003,27,39,16,2,6,11,73
Japan,Philippines,1019,1019,47,38,6,1,3,5,90
Japan,Taiwan,1036,1036,60,31,7,1,1,1,92
Japan,Thailand,1020,1020,48,38,6,2,2,4,90
Japan,Vietnam,1011,1011,38,34,10,2,4,11,81
Japan,India,1163,1163,13,24,13,6,10,34,57
Japan,Singapore,1010,1010,69,23,4,2,1,2,94
Japan,Italy,1002,1002,23,26,15,10,4,20,62
Japan,Spain,1001,1001,22,27,21,11,5,14,57
Japan,USA,1184,1177,29,28,7,4,9,22,74
Japan,UAE,1027,1027,22,26,13,10,11,19,58
Japan,Saudi Arabia,1009,1009,12,19,11,13,17,29,43
Japan,Great Britain,1762,1762,12,24,10,7,10,36,57
Japan,Germany,2040,2040,14,28,14,8,9,27,58
Japan,France,1011,1011,32,23,11,8,5,22,70
Japan,Denmark,1007,1007,23,24,9,5,16,23,61
Japan,Sweden,1006,1006,26,31,12,6,12,12,66
Japan,Finland,1005,1005,20,29,12,6,11,22,72
Japan,Norway,732,732,17,29,10,5,14,25,61
USA,Australia,1020,1020,21,39,16,6,7,12,68
USA,China,1014,1014,7,24,16,6,8,39,51
USA,Hong Kong,1023,1023,10,46,23,4,7,10,62
USA,Indonesia,1024,1024,21,34,11,3,14,17,66
USA,Japan,1000,1000,8,37,14,2,18,20,57
USA,Malaysia,1003,1003,12,37,12,2,13,25,65
USA,Philippines,1019,1019,50,37,3,1,3,6,93
USA,Taiwan,1036,1036,26,44,18,2,2,8,76
USA,Thailand,1020,1020,16,43,11,3,8,18,73
USA,Vietnam,1011,1011,21,32,11,2,9,24,71
USA,India,1163,1163,23,34,9,3,8,24,75
USA,Singapore,1010,1010,27,46,10,2,3,13,83
USA,Italy,1002,1002,10,34,23,10,4,19,54
USA,Spain,1001,1001,17,27,28,11,6,12,49
USA,USA,1184,1177,62,22,3,1,4,8,91
USA,UAE,1027,1027,31,37,10,5,8,9,75
USA,Saudi Arabia,1009,1009,22,31,8,5,14,19,66
USA,Great Britain,1762,1762,20,41,15,5,6,13,70
USA,Germany,2040,2040,12,32,23,9,7,16,53
USA,France,1011,1011,14,29,17,10,7,22,56
USA,Denmark,1007,1007,19,44,12,3,12,10,70
USA,Sweden,1006,1006,16,44,22,5,9,4,63
USA,Finland,1005,1005,19,44,13,5,10,9,68
USA,Norway,732,732,19,42,17,3,9,10,68
Mexico,Australia,1020,1020,32,38,12,4,4,10,77
Mexico,China,1014,1014,5,15,11,6,10,53,42
Mexico,Hong Kong,1023,1023,6,32,19,4,8,31,54
Mexico,Indonesia,1024,1024,6,19,11,4,27,33,38
Mexico,Japan,1000,1000,5,26,7,1,21,40,51
Mexico,Malaysia,1003,1003,8,26,12,3,18,34,51
Mexico,Philippines,1019,1019,28,41,6,1,6,19,85
Mexico,Taiwan,1036,1036,11,32,19,2,6,30,62
Mexico,Thailand,1020,1020,8,27,13,4,13,34,54
Mexico,Vietnam,1011,1011,10,20,16,4,15,35,46
Mexico,India,1163,1163,19,30,9,4,8,29,70
Mexico,Singapore,1010,1010,17,38,12,3,7,24,72
Mexico,Italy,1002,1002,22,40,11,3,4,18,77
Mexico,Spain,1001,1001,28,39,18,5,3,7,72
Mexico,USA,1184,1177,51,28,5,4,4,8,86
Mexico,UAE,1027,1027,26,34,10,3,11,15,71
Mexico,Saudi Arabia,1009,1009,20,29,8,4,15,24,64
Mexico,Great Britain,1762,1762,27,35,10,4,6,19,76
Mexico,Germany,2040,2040,15,43,13,4,7,18,71
Mexico,France,1011,1011,29,33,10,3,4,21,78
Mexico,Denmark,1007,1007,30,39,8,2,9,11,78
Mexico,Sweden,1006,1006,25,46,9,4,8,8,77
Mexico,Finland,1005,1005,29,41,6,3,7,14,69
Mexico,Norway,732,732,32,41,6,2,6,12,84
Caribbean,Australia,1020,1020,9,20,7,2,15,48,55
Caribbean,China,1014,1014,4,8,12,7,10,60,30
Caribbean,Hong Kong,1023,1023,3,17,16,4,11,49,39
Caribbean,Indonesia,1024,1024,4,9,12,5,32,39,21
Caribbean,Japan,1000,1000,1,6,3,1,24,64,22
Caribbean,Malaysia,1003,1003,3,13,11,4,22,47,31
Caribbean,Philippines,1019,1019,11,25,7,2,12,43,63
Caribbean,Taiwan,1036,1036,6,14,12,1,9,58,46
Caribbean,Thailand,1020,1020,3,12,13,5,16,51,29
Caribbean,Vietnam,1011,1011,7,14,16,5,18,40,35
Caribbean,India,1163,1163,8,20,10,5,13,45,50
Caribbean,Singapore,1010,1010,5,18,8,2,13,55,50
Caribbean,Italy,1002,1002,5,20,9,4,14,49,49
Caribbean,Spain,1001,1001,11,23,15,3,12,35,54
Caribbean,USA,1184,1177,18,26,5,3,13,35,68
Caribbean,UAE,1027,1027,11,21,12,5,20,32,47
Caribbean,Saudi Arabia,1009,1009,6,13,7,6,27,41,33
Caribbean,Great Britain,1762,1762,14,30,10,3,10,33,66
Caribbean,Germany,2040,2040,6,20,10,4,12,48,50
Caribbean,France,1011,1011,11,11,5,3,11,60,54
Caribbean,Denmark,1007,1007,9,17,6,1,26,41,44
Caribbean,Sweden,1006,1006,8,24,7,3,25,34,48
Caribbean,Finland,1005,1005,10,24,5,2,19,40,46
Caribbean,Norway,732,732,10,22,6,2,19,40,54
Argentina,Australia,1020,1020,10,18,6,2,16,49,53
Argentina,China,1014,1014,4,11,10,5,11,59,37
Argentina,Hong Kong,1023,1023,3,15,17,4,11,51,36
Argentina,Indonesia,1024,1024,4,11,11,4,31,39,25
Argentina,Japan,1000,1000,1,4,3,1,24,67,16
Argentina,Malaysia,1003,1003,3,9,11,4,24,49,24
Argentina,Philippines,1019,1019,6,23,8,2,15,46,55
Argentina,Taiwan,1036,1036,4,13,13,1,9,59,42
Argentina,Thailand,1020,1020,2,9,14,6,15,54,24
Argentina,Vietnam,1011,1011,6,15,15,5,18,40,35
Argentina,India,1163,1163,7,16,11,5,14,48,43
Argentina,Singapore,1010,1010,3,11,8,3,14,62,35
Argentina,Italy,1002,1002,17,35,7,3,8,30,75
Argentina,Spain,1001,1001,22,43,10,2,7,17,77
Argentina,USA,1184,1177,9,14,3,3,19,52,48
Argentina,UAE,1027,1027,9,21,12,5,19,33,45
Argentina,Saudi Arabia,1009,1009,6,11,9,6,26,43,29
Argentina,Great Britain,1762,1762,5,12,2,2,16,63,46
Argentina,Germany,2040,2040,8,25,7,3,12,44,60
Argentina,France,1011,1011,9,12,4,3,11,61,54
Argentina,Denmark,1007,1007,9,18,4,1,28,40,45
Argentina,Sweden,1006,1006,7,16,5,2,26,43,41
Argentina,Finland,1005,1005,6,15,6,2,21,50,45
Argentina,Norway,732,732,9,20,3,2,20,45,54
Brazil,Australia,1020,1020,11,19,7,2,15,46,56
Brazil,China,1014,1014,5,13,10,6,10,56,42
Brazil,Hong Kong,1023,1023,3,19,18,5,10,46,41
Brazil,Indonesia,1024,1024,4,13,11,4,30,37,28
Brazil,Japan,1000,1000,3,12,6,1,24,55,33
Brazil,Malaysia,1003,1003,3,11,11,4,23,48,26
Brazil,Philippines,1019,1019,8,26,8,2,14,43,59
Brazil,Taiwan,1036,1036,5,14,14,2,9,56,43
Brazil,Thailand,1020,1020,2,12,13,6,16,51,29
Brazil,Vietnam,1011,1011,9,20,13,4,16,38,47
Brazil,India,1163,1163,8,18,10,5,13,46,49
Brazil,Singapore,1010,1010,5,16,9,3,14,53,45
Brazil,Italy,1002,1002,12,30,10,3,9,37,66
Brazil,Spain,1001,1001,11,26,15,3,11,35,56
Brazil,USA,1184,1177,12,17,4,2,17,47,55
Brazil,UAE,1027,1027,11,22,13,5,19,31,48
Brazil,Saudi Arabia,1009,1009,7,17,9,5,24,38,39
Brazil,Great Britain,1762,1762,6,15,4,3,15,57,49
Brazil,Germany,2040,2040,5,20,9,4,13,50,49
Brazil,France,1011,1011,11,17,6,3,11,53,58
Brazil,Denmark,1007,1007,7,18,5,1,28,41,42
Brazil,Sweden,1006,1006,7,17,6,2,28,41,40
Brazil,Finland,1005,1005,7,17,5,2,20,48,46
Brazil,Norway,732,732,7,19,5,1,22,46,48
Peru,Australia,1020,1020,6,13,6,2,17,56,44
Peru,China,1014,1014,4,8,12,8,11,57,28
Peru,Hong Kong,1023,1023,3,12,17,5,11,52,31
Peru,Indonesia,1024,1024,3,10,11,4,34,39,21
Peru,Japan,1000,1000,2,4,4,1,24,66,16
Peru,Malaysia,1003,1003,2,7,11,4,25,51,19
Peru,Philippines,1019,1019,4,18,9,2,15,51,47
Peru,Taiwan,1036,1036,4,9,13,2,10,63,33
Peru,Thailand,1020,1020,2,6,15,7,17,54,16
Peru,Vietnam,1011,1011,7,14,15,5,18,41,37
Peru,India,1163,1163,7,13,10,6,15,50,39
Peru,Singapore,1010,1010,2,10,7,3,14,64,33
Peru,Italy,1002,1002,5,12,8,4,15,56,39
Peru,Spain,1001,1001,11,20,15,4,13,37,50
Peru,USA,1184,1177,9,12,4,3,19,53,44
Peru,UAE,1027,1027,7,16,12,6,22,36,37
Peru,Saudi Arabia,1009,1009,3,9,9,7,26,45,23
Peru,Great Britain,1762,1762,2,6,3,2,17,70,27
Peru,Germany,2040,2040,2,9,8,5,15,60,28
Peru,France,1011,1011,3,9,3,3,13,69,39
Peru,Denmark,1007,1007,4,6,4,2,32,51,21
Peru,Sweden,1006,1006,4,9,5,2,29,50,27
Peru,Finland,1005,1005,4,10,6,3,24,54,32
Peru,Norway,732,732,4,10,5,3,24,54,30
