Italy,84,46
China,78,42
Japan,71,39
Thailand,70,44
France,70,55
Spain,68,46
USA,68,54
Mexico,67,NA
India,62,55
Turkey,57,NA
ROK,56,NA
Greece,56,NA
Vietnam,55,52
Hong Kong,54,57
Germany,52,50
UK,50,56
Taiwan,50,57
Singapore,49,66
Indonesia,49,45
Malaysia,48,52
Australia,48,65
Morocco,48,NA
Lebanon,46,NA
Caribbean,46,NA
Brazil,46,NA
Sweden,44,52
Argentina,43,NA
Denmark,41,47
UAE,37,57
Norway,37,54
Philippines,36,67
Saudi Arabia,36,46
Finland,32,56
Peru,32,NA
